Index,Author,Quote,Class
1,Ralph Waldo Emerson,For every minute you are angry you lose sixty seconds of happiness,1
2,Robert A. Heinlein,Love is that condition in which the happiness of another person is essential to your own,1
3,Abraham Lincoln,Folks are usually about as happy as they make their minds up to be,1
4,Chuck Palahniuk,It's so hard to forget pain but it's even harder to remember sweetness,1
5,Ernest Hemingway,Happiness in intelligent people is the rarest thing I know,1
6,Mahatma Gandhi,Happiness is when what you think what you say  and what you do are in harmony,1
7,Albert Camus,You will never be happy if you continue to search for what happiness consists of. You will never live if you are looking for the meaning of life,1
8,Stephen Chbosky,There's nothing like deep breaths after laughing that hard. Nothing in the world like a sore stomach for the right reason,1
9,Henry Wadsworth Longfellow,Every man has his secret sorrows which the world knows not; and often times we call a man cold when he is only sad,1
10,Dalai Lama XIV,Happiness is not something ready made. It comes from your own actions,1
11,John Lenon,Count your age by friends not years. Count your life by smiles not tears,1
12,J.R.R Toliken,If more of us valued food and cheer and song above hoarded gold it would be a merrier world,1
13,Tom Bodett,They say a person needs just three things to be truly happy in this world: someone to love something to do and something to hope for,1
14,Audrey Hepburn,The most important thing is to enjoy your life—to be happy—it's all that matters,1
15,Charles M. Schulz,Happiness is a warm puppy,1
16,Stephen Chbosky,Things change. And friends leave. Life doesn't stop for anybody.,0
17,David Levithan,Breathing is hard. When you cry so much it makes you realize that breathing is hard.,0
18,Jonathan Safran Foer,You cannot protect yourself from sadness without protecting yourself from happiness,0
19,Leonardo da Vinci,Tears come from the heart and not from the brain,0
20,Dorothy Thompson,To have felt too much is to end in feeling nothing,0
21,Henry Rollins,It's sad when someone you know becomes someone you knew,0
22,George Elliot,It will never rain roses: when we want to have more roses we must plant more roses,0
23,Tabitha Suzuma,As the light begins to intensify so does my misery and I wonder how it is possible to hurt so much when nothing is wrong,0
24,Margaret Mitchell,Life's under no obligation to give us what we expect,0
25,John Lenon,One thing you can't hide — is when you're crippled inside,0
26,Arthur C. Clarke,Two possibilities exist: either we are alone in the Universe or we are not. Both are equally terrifying,0
27,Christopher Morley,Heavy hearts like heavy clouds in the sky are best relieved by the letting of a little water,0
28,Norman Cousins,Death is not the greatest loss in life. The greatest loss is what dies inside us while we live,0
29,Bob Marley,The good times of today are the sad thoughts of tomorrow,0
30,Leonardo Da Vinci,Tears come from the heart and not from the brain,0
